P2 ratio,P1 ratio,0.5um,1um,time (iso)
7.28,0.16,4519.81,11.67,2015-08-16T13:43:42.298000
8.61,0.34,5345.34,33.90,2015-08-16T13:44:44.541000
7.96,0.82,4940.81,133.01,2015-08-16T13:45:47.309000
6.94,0.04,4307.67,1.82,2015-08-16T13:46:49.528000
6.95,0.05,4310.36,2.57,2015-08-16T13:47:52.307000
7.15,0.02,4438.99,0.74,2015-08-16T13:48:55.759000
7.64,0.33,4739.40,32.09,2015-08-16T13:49:59.137000
7.34,0.07,4555.96,3.91,2015-08-16T13:51:02.187000
7.11,0.92,4411.93,159.80,2015-08-16T13:52:04.320000
7.42,0.35,4603.54,34.48,2015-08-16T13:53:06.731000
7.65,1.14,4746.81,227.93,2015-08-16T13:54:09.245000
8.21,0.71,5093.81,106.69,2015-08-16T13:55:12.176000
6.63,0.60,4113.49,81.53,2015-08-16T13:56:14.395000
8.90,0.20,5525.84,15.10,2015-08-16T13:57:17.571000
7.76,0.53,4814.50,66.37,2015-08-16T13:58:20.139000
8.87,0.02,5503.23,1.13,2015-08-16T13:59:21.972000
8.18,0.70,5075.69,104.74,2015-08-16T14:00:25.383000
6.90,0.23,4282.43,18.56,2015-08-16T14:01:29.035000
7.08,0.49,4395.25,59.48,2015-08-16T14:02:30.885000
5.94,0.32,3688.81,31.29,2015-08-16T14:03:34.071000
7.19,0.88,4464.69,151.15,2015-08-16T14:04:37.174000
10.01,0.63,6211.19,87.44,2015-08-16T14:05:39.851000
7.03,1.95,4362.88,518.46,2015-08-16T14:06:43.139000
8.18,0.14,5075.65,9.68,2015-08-16T14:07:45.133000
9.68,1.94,6007.34,517.07,2015-08-16T14:08:47.302000
9.03,1.51,5606.50,352.77,2015-08-16T14:09:50.192000
9.59,2.45,5954.55,712.58,2015-08-16T14:10:53.029000
7.47,0.83,4636.78,135.42,2015-08-16T14:11:55.982000
9.44,0.81,5861.11,131.49,2015-08-16T14:12:59.011000
7.41,0.31,4599.51,28.81,2015-08-16T14:14:00.799000
7.10,0.85,4403.78,142.21,2015-08-16T14:15:03.460000
8.28,1.03,5138.87,194.07,2015-08-16T14:16:06.142000
8.12,0.38,5038.92,40.43,2015-08-16T14:17:08.746000
12.16,0.95,7549.64,170.28,2015-08-16T14:18:11.968000
8.84,2.05,5487.81,559.08,2015-08-16T14:19:13.974000
7.07,0.24,4384.71,20.43,2015-08-16T14:20:17.212000
8.50,0.90,5278.27,155.00,2015-08-16T14:21:19.963000
7.47,0.54,4633.47,68.17,2015-08-16T14:22:22.260000
8.54,0.65,5299.19,91.59,2015-08-16T14:23:25.617000
7.34,0.26,4557.48,22.08,2015-08-16T14:24:27.631000
6.65,0.58,4128.45,76.21,2015-08-16T14:25:30.444000
8.99,0.80,5582.30,129.66,2015-08-16T14:26:32.929000
9.74,1.40,6043.81,314.80,2015-08-16T14:27:34.574000
7.99,2.20,4958.17,617.53,2015-08-16T14:28:37.243000
7.82,0.08,4852.30,4.87,2015-08-16T14:29:39.654000
7.78,0.44,4826.28,50.09,2015-08-16T14:30:41.816000
6.43,0.12,3990.78,7.81,2015-08-16T14:31:44.645000
7.75,0.97,4806.65,175.76,2015-08-16T14:32:47.596000
6.46,0.73,4007.57,110.92,2015-08-16T14:33:50.626000
11.19,1.54,6944.09,365.17,2015-08-16T14:34:52.893000
10.29,1.81,6384.56,465.58,2015-08-16T14:35:55.584000
9.95,0.83,6175.14,135.14,2015-08-16T14:36:59.080000
14.50,0.94,8999.71,166.69,2015-08-16T14:38:02.089000
