1um,5um,time (iso),1um arduino,arduino P1 ratio
1899,515,2015-08-18T12:17:06.024000,3956.28637202,6.37557521038
1759,461,2015-08-18T12:18:04.766000,3831.90470782,6.17107647468
1273,318,2015-08-18T12:19:03.507000,4167.53515001,6.71393599796
1037,234,2015-08-18T12:20:02.251000,3569.4222832,5.74854928573
985,212,2015-08-18T12:21:00.993000,2987.61896696,4.80939836242
736,141,2015-08-18T12:21:59.737000,2805.20126117,4.51647072058
441,61,2015-08-18T12:22:58.480000,1612.00141911,3.32690807143
472,62,2015-08-18T12:23:57.225000,547.880960242,2.02251178026
406,52,2015-08-18T12:24:55.968000,477.094713251,1.83630545551
362,43,2015-08-18T12:25:54.711000,471.223533084,1.81140936172
341,37,2015-08-18T12:26:53.456000,311.699019466,1.3921343846
319,32,2015-08-18T12:27:52.199000,314.606476628,1.38813589192
286,28,2015-08-18T12:28:50.941000,207.018229379,1.06268237919
282,25,2015-08-18T12:29:49.685000,376.023019326,1.57293723586
294,26,2015-08-18T12:30:48.428000,340.888763506,1.47
308,23,2015-08-18T12:31:47.171000,340.357343964,1.46999278251
316,27,2015-08-18T12:32:45.912000,329.956204619,1.4417288169
265,20,2015-08-18T12:33:44.654000,288.117872395,1.32706985898
280,20,2015-08-18T12:34:43.395000,274.793328581,1.28569633076
297,21,2015-08-18T12:35:42.138000,408.146475706,1.65090400447
286,20,2015-08-18T12:36:40.879000,454.949507645,1.78
296,20,2015-08-18T12:37:39.622000,411.510269331,1.6669956333
282,21,2015-08-18T12:38:38.364000,268.648807008,1.2500081894
291,19,2015-08-18T12:39:37.106000,182.517200718,0.995096633246
252,13,2015-08-18T12:40:35.851000,171.089242317,0.955188496601
237,11,2015-08-18T12:41:34.595000,192.027046974,1.01982631279
236,8,2015-08-18T12:42:33.339000,200.113352111,1.03553426842
251,14,2015-08-18T12:43:32.086000,87.4348528881,0.629276988208
295,23,2015-08-18T12:44:30.832000,112.011638196,0.695360516555
336,26,2015-08-18T12:45:29.577000,350.426153138,1.48852751672
361,32,2015-08-18T12:46:28.327000,630.071305109,2.2193355113
379,26,2015-08-18T12:47:27.070000,133.588571343,0.812876279502
358,18,2015-08-18T12:48:25.814000,488.740637582,1.86275455463
373,18,2015-08-18T12:49:24.559000,550.61825998,2.025985325
338,14,2015-08-18T12:50:23.308000,321.469413117,1.41226504419
311,13,2015-08-18T12:51:22.053000,185.557667372,1.00195578985
299,16,2015-08-18T12:52:20.800000,428.015877323,1.68708706907
300,15,2015-08-18T12:53:19.545000,349.760218951,1.48922237461
305,19,2015-08-18T12:54:18.293000,252.393972076,1.21951561543
272,14,2015-08-18T12:55:17.039000,282.552172001,1.3045583894
250,16,2015-08-18T12:56:15.787000,253.953774986,1.21289138233
244,16,2015-08-18T12:57:14.533000,261.265792842,1.23287954501
280,24,2015-08-18T12:58:13.280000,492.18717711,1.87302543787
284,25,2015-08-18T12:59:12.027000,625.768549926,2.22482935268
259,23,2015-08-18T13:00:10.775000,355.811522319,1.50309612003
278,20,2015-08-18T13:01:09.523000,213.396329385,1.08968961567
255,19,2015-08-18T13:02:08.269000,240.97056206,1.14177035918
240,19,2015-08-18T13:03:07.016000,33.8999980903,0.316694126909
245,17,2015-08-18T13:04:05.765000,147.343077025,0.875154918482
230,17,2015-08-18T13:05:04.511000,118.770193663,0.761394268066
226,19,2015-08-18T13:06:03.257000,361.030802778,1.5216285272
227,16,2015-08-18T13:07:02.004000,220.418777261,1.10852797419
232,22,2015-08-18T13:08:00.754000,211.20078873,1.09082237841
228,18,2015-08-18T13:08:59.502000,167.32357796,0.941272770738
205,15,2015-08-18T13:09:58.248000,305.446585216,1.35579084502
202,14,2015-08-18T13:10:56.996000,241.427011278,1.16309357667
204,14,2015-08-18T13:11:55.745000,163.017768354,0.927494337324
213,17,2015-08-18T13:12:54.493000,224.072614295,1.12040006294
207,12,2015-08-18T13:13:53.238000,274.531788897,1.28313034027
205,17,2015-08-18T13:14:51.984000,254.08935323,1.224145916
212,14,2015-08-18T13:15:50.731000,193.951463041,1.01724679697
205,11,2015-08-18T13:16:49.478000,103.031821348,0.69519239422
211,15,2015-08-18T13:17:48.224000,153.540163946,0.879240829171
202,13,2015-08-18T13:18:46.971000,280.637362839,1.29465325501
210,12,2015-08-18T13:19:45.716000,103.799019915,0.704105561295
200,12,2015-08-18T13:20:44.463000,124.370144894,0.78864443107
200,10,2015-08-18T13:21:43.210000,104.364189281,0.707557524112
203,11,2015-08-18T13:22:41.956000,96.8221903694,0.67423081862
218,17,2015-08-18T13:23:40.701000,219.75067213,1.10051469458
228,26,2015-08-18T13:24:39.446000,127.364757904,0.7720331186
232,23,2015-08-18T13:25:38.193000,112.64343579,0.735887782222
200,17,2015-08-18T13:26:36.939000,163.124185773,0.924343395644
200,12,2015-08-18T13:27:35.686000,262.548131285,1.23892827002
223,24,2015-08-18T13:28:34.433000,341.613907426,1.47734687617
254,42,2015-08-18T13:29:33.182000,279.938772246,1.28887551512
236,32,2015-08-18T13:30:31.927000,217.10242563,1.10159110234
209,19,2015-08-18T13:31:30.673000,320.296683479,1.41694580421
205,20,2015-08-18T13:32:29.419000,335.753660606,1.45756841532
197,13,2015-08-18T13:33:28.165000,227.05038249,1.13780721515
192,12,2015-08-18T13:34:26.909000,162.407098052,0.91727195076
205,14,2015-08-18T13:35:25.653000,104.188186149,0.683068122978
208,15,2015-08-18T13:36:24.398000,346.327792693,1.49187474008
201,12,2015-08-18T13:37:23.143000,122.84808815,0.771937611394
185,9,2015-08-18T13:38:21.886000,309.954131782,1.37966816196
186,13,2015-08-18T13:39:20.634000,158.612804247,0.889570839405
205,14,2015-08-18T13:40:19.381000,131.160367447,0.809205937297
204,22,2015-08-18T13:41:18.127000,251.658882755,1.19731012945
182,14,2015-08-18T13:42:16.873000,164.849196472,0.88409672009
172,11,2015-08-18T13:43:15.618000,120.657565224,0.75818983987
185,13,2015-08-18T13:44:14.365000,92.6737036039,0.610040491968
223,31,2015-08-18T13:45:13.109000,81.6071608343,0.563938861116
278,49,2015-08-18T13:46:11.856000,202.71069878,1.04848591646
221,25,2015-08-18T13:47:10.601000,283.641092113,1.30992316108
261,36,2015-08-18T13:48:09.349000,239.820539137,1.17637440479
344,58,2015-08-18T13:49:08.093000,242.419945905,1.17614070699
384,61,2015-08-18T13:50:06.842000,381.555467235,1.58720520913
402,77,2015-08-18T13:51:05.590000,312.3700804,1.39051796641
373,61,2015-08-18T13:52:04.338000,616.465635759,2.20204856628
280,38,2015-08-18T13:53:03.087000,387.439863194,1.59871407585
355,47,2015-08-18T13:54:01.834000,418.448061001,1.68571894499
388,35,2015-08-18T13:55:00.580000,193.108896194,1.00717285476
418,30,2015-08-18T13:55:59.329000,271.955930911,1.2674744202
386,34,2015-08-18T13:56:58.081000,204.322398091,1.05328977689
311,34,2015-08-18T13:57:56.830000,236.365315226,1.15851811148
309,34,2015-08-18T13:58:55.582000,143.162168887,0.772104963427
301,35,2015-08-18T13:59:54.333000,246.187580672,1.07685667374
295,35,2015-08-18T14:00:53.082000,336.139938475,1.44411614663
264,23,2015-08-18T14:01:51.831000,172.413951462,0.960436634326
282,21,2015-08-18T14:02:50.582000,187.306822701,0.995135212833
275,28,2015-08-18T14:03:49.334000,335.247927532,1.45274997686
599,27,2015-08-18T14:04:48.087000,398.758693272,1.62146295566
529,23,2015-08-18T14:05:46.836000,197.242921539,1.03441800839
756,46,2015-08-18T14:06:45.588000,360.731288383,1.52685553491
979,40,2015-08-18T14:07:44.338000,697.864085164,2.40633239608
967,56,2015-08-18T14:08:43.087000,469.568325699,1.81645562196
1112,44,2015-08-18T14:09:41.836000,667.407395092,2.32990568267
1075,53,2015-08-18T14:10:40.587000,630.039543028,2.23165715688
951,41,2015-08-18T14:11:39.335000,627.619241379,2.22774215907
909,84,2015-08-18T14:12:38.084000,608.856168496,2.17814648752
775,69,2015-08-18T14:13:36.833000,599.264982869,2.15
624,45,2015-08-18T14:14:35.581000,569.115649977,2.07183816525
496,27,2015-08-18T14:15:34.330000,486.089463471,1.8606219917
445,30,2015-08-18T14:16:33.077000,604.711067801,2.17790414752
456,33,2015-08-18T14:17:31.828000,582.2386701,2.08867903556
507,35,2015-08-18T14:18:30.577000,286.738420533,1.28583233227
601,73,2015-08-18T14:19:29.325000,454.615120768,1.77272747579
635,89,2015-08-18T14:20:28.073000,389.943671487,1.59769082684
757,155,2015-08-18T14:21:26.827000,715.725530908,2.46247091809
1193,131,2015-08-18T14:22:25.578000,962.970350916,3.17940888032
1071,118,2015-08-18T14:23:24.328000,1056.25582879,3.58298194836
1109,133,2015-08-18T14:24:23.075000,457.538861905,1.79390349845
791,105,2015-08-18T14:25:21.822000,458.503687726,1.79378402187
615,80,2015-08-18T14:26:20.570000,541.797660927,2.00648146687
628,60,2015-08-18T14:27:19.322000,296.482493575,1.32551348489
603,46,2015-08-18T14:28:18.069000,303.890124409,1.36416863643
723,67,2015-08-18T14:29:16.820000,247.986934076,1.19177034177
1005,51,2015-08-18T14:30:15.568000,148.158720816,0.869229075281
886,37,2015-08-18T14:31:14.316000,246.056212595,1.1617819071
649,45,2015-08-18T14:32:13.063000,345.989975342,1.48607993425
673,103,2015-08-18T14:33:11.815000,385.066979539,1.58879310338
654,100,2015-08-18T14:34:10.565000,498.926374211,1.89321655274
656,65,2015-08-18T14:35:09.313000,489.31857715,1.87231159433
790,48,2015-08-18T14:36:08.059000,510.819590403,1.92111456678
775,43,2015-08-18T14:37:06.807000,400.43935017,1.63315209855
696,48,2015-08-18T14:38:05.558000,904.733877016,3.0069369456
694,40,2015-08-18T14:39:04.306000,520.596380485,1.94604172903
634,45,2015-08-18T14:40:03.054000,155.966036358,0.894551336271
651,55,2015-08-18T14:41:01.803000,452.362317953,1.76667654881
717,70,2015-08-18T14:42:00.552000,347.280168786,1.49060283955
