P2 ratio,P1 ratio,0.5um,1um,time (iso)
15.69,2.63,973.86,163.09,2015-08-01T00:22:09.129000
13.78,7.31,855.01,453.93,2015-08-01T00:23:11.178000
13.88,2.50,861.40,155.30,2015-08-01T00:24:13.185000
16.86,2.11,1046.06,131.18,2015-08-01T00:25:15.661000
14.03,2.98,870.74,184.71,2015-08-01T00:26:18.637000
12.45,2.35,772.38,146.04,2015-08-01T00:27:20.882000
12.03,1.99,746.65,123.78,2015-08-01T00:28:23.286000
14.82,3.14,919.46,195.00,2015-08-01T00:29:25.679000
11.42,2.07,708.46,128.33,2015-08-01T00:30:27.789000
14.01,3.65,869.58,226.25,2015-08-01T00:31:31.273000
11.12,2.10,690.06,130.56,2015-08-01T00:32:33.936000
14.12,2.28,876.42,141.31,2015-08-01T00:33:37.220000
15.51,1.90,962.41,118.09,2015-08-01T00:34:39.661000
14.43,2.45,895.35,152.07,2015-08-01T00:35:41.708000
12.93,2.63,802.43,163.43,2015-08-01T00:36:44.312000
12.74,1.84,790.85,114.22,2015-08-01T00:37:46.337000
12.38,2.26,768.15,140.19,2015-08-01T00:38:48.431000
12.64,2.30,784.75,142.96,2015-08-01T00:39:51.984000
11.81,2.22,732.84,138.05,2015-08-01T00:40:55.104000
14.07,1.86,873.12,115.23,2015-08-01T00:41:57.735000
13.88,1.71,861.48,105.83,2015-08-01T00:43:00.749000
13.83,2.30,858.17,142.51,2015-08-01T00:44:03.309000
15.60,1.97,968.02,122.29,2015-08-01T00:45:06.257000
10.95,2.39,679.58,148.19,2015-08-01T00:46:08.496000
13.94,1.55,865.07,95.93,2015-08-01T00:47:11.009000
14.68,2.11,910.87,131.16,2015-08-01T00:48:13.270000
13.85,2.89,859.79,179.64,2015-08-01T00:49:15.167000
12.66,2.39,785.60,148.21,2015-08-01T00:50:17.170000
13.61,1.79,844.34,110.99,2015-08-01T00:51:19.096000
14.50,2.29,899.74,142.34,2015-08-01T00:52:22.372000
14.13,2.46,877.17,152.75,2015-08-01T00:53:24.466000
15.49,3.45,961.56,214.22,2015-08-01T00:54:27.782000
13.85,2.82,859.46,174.85,2015-08-01T00:55:30.801000
13.46,1.42,835.63,88.30,2015-08-01T00:56:33.587000
14.68,1.67,910.99,103.88,2015-08-01T00:57:35.828000
16.40,3.74,1017.63,232.40,2015-08-01T00:58:38.950000
13.05,3.08,809.64,191.41,2015-08-01T00:59:41.846000
12.69,2.34,787.81,145.32,2015-08-01T01:00:45.130000
12.41,2.24,770.42,139.28,2015-08-01T01:01:47.264000
12.66,3.32,785.47,205.97,2015-08-01T01:02:49.106000
12.07,1.74,748.93,108.04,2015-08-01T01:03:52.664000
11.06,2.13,686.40,132.32,2015-08-01T01:04:54.957000
13.49,1.77,837.18,110.03,2015-08-01T01:05:56.677000
11.65,2.00,723.13,124.25,2015-08-01T01:06:59.909000
13.95,2.05,865.92,127.24,2015-08-01T01:08:01.754000
12.43,2.00,771.16,124.20,2015-08-01T01:09:04.897000
16.40,1.32,1017.63,81.64,2015-08-01T01:10:07.098000
13.11,2.27,813.32,141.06,2015-08-01T01:11:09.235000
13.02,2.09,808.15,129.73,2015-08-01T01:12:11.360000
12.06,0.98,748.64,60.64,2015-08-01T01:13:13.244000
14.09,1.52,874.20,94.43,2015-08-01T01:14:16.486000
12.98,1.78,805.75,110.70,2015-08-01T01:15:18.732000
12.32,2.03,764.46,125.72,2015-08-01T01:16:20.583000
12.73,1.74,789.85,107.74,2015-08-01T01:17:23.564000
13.38,2.18,830.38,135.42,2015-08-01T01:18:26.228000
13.47,2.32,836.00,143.99,2015-08-01T01:19:29.325000
12.36,2.18,766.88,135.11,2015-08-01T01:20:31.949000
12.42,1.10,771.01,68.50,2015-08-01T01:21:34.068000
10.69,2.37,663.52,146.84,2015-08-01T01:22:36.629000
13.21,1.50,819.89,93.30,2015-08-01T01:23:38.705000
11.36,1.24,705.14,77.16,2015-08-01T01:24:40.748000
12.28,1.81,762.22,112.51,2015-08-01T01:25:43.730000
11.88,1.32,737.16,81.83,2015-08-01T01:26:45.740000
13.19,1.77,818.63,109.74,2015-08-01T01:27:47.633000
11.80,1.62,732.55,100.25,2015-08-01T01:28:50.147000
12.52,2.18,777.21,135.48,2015-08-01T01:29:53.208000
12.52,2.72,776.81,169.02,2015-08-01T01:30:56.307000
11.95,2.03,741.92,125.69,2015-08-01T01:31:58.747000
9.02,1.10,559.66,68.43,2015-08-01T01:33:01.167000
12.46,2.06,773.40,127.84,2015-08-01T01:34:04.246000
11.56,2.47,717.40,153.19,2015-08-01T01:35:06.883000
11.08,1.60,687.50,99.23,2015-08-01T01:36:10.291000
11.69,1.48,725.69,91.57,2015-08-01T01:37:13.736000
12.36,1.05,767.20,65.12,2015-08-01T01:38:16.880000
11.50,1.09,713.86,67.72,2015-08-01T01:39:20.073000
12.94,2.35,802.99,145.70,2015-08-01T01:40:22.399000
11.35,1.49,704.37,92.71,2015-08-01T01:41:25.535000
10.85,2.60,673.25,161.51,2015-08-01T01:42:27.590000
10.94,2.55,678.91,158.54,2015-08-01T01:43:30.302000
10.75,1.42,667.14,87.92,2015-08-01T01:44:32.328000
11.89,1.85,737.97,114.84,2015-08-01T01:45:34.205000
11.41,1.34,708.24,83.04,2015-08-01T01:46:37.258000
11.91,1.49,739.04,92.47,2015-08-01T01:47:40.864000
10.50,1.74,651.79,108.01,2015-08-01T01:48:44.017000
12.48,1.57,774.82,97.23,2015-08-01T01:49:45.768000
12.99,2.04,806.00,126.49,2015-08-01T01:50:47.648000
9.24,1.78,573.43,110.30,2015-08-01T01:51:49.523000
11.30,0.78,701.52,48.17,2015-08-01T01:52:53.147000
12.26,1.16,760.79,71.90,2015-08-01T01:53:55.228000
11.11,1.72,689.49,106.63,2015-08-01T01:54:57.801000
12.09,1.96,750.07,121.80,2015-08-01T01:55:59.938000
11.56,1.01,717.60,62.92,2015-08-01T01:57:02.446000
11.01,0.71,683.23,43.84,2015-08-01T01:58:06.008000
12.31,1.11,763.76,69.12,2015-08-01T01:59:08.388000
11.86,1.65,736.22,102.65,2015-08-01T02:00:10.458000
14.44,2.56,896.04,158.97,2015-08-01T02:01:13.529000
10.71,1.47,664.97,91.50,2015-08-01T02:02:16.030000
11.61,1.47,720.80,91.30,2015-08-01T02:03:18.247000
11.65,0.94,723.09,58.10,2015-08-01T02:04:20.234000
11.17,1.70,693.42,105.79,2015-08-01T02:05:22.830000
10.78,0.89,669.00,55.46,2015-08-01T02:06:25.794000
9.83,1.42,610.14,88.29,2015-08-01T02:07:28.044000
10.05,1.37,623.82,85.01,2015-08-01T02:08:30.521000
10.28,1.42,637.85,88.30,2015-08-01T02:09:33.050000
