P2 ratio,P1 ratio,0.5um,1um,time (iso)
11.62,0.67,721.39,41.40,2015-08-07T00:45:46.077000
11.13,0.56,690.70,34.87,2015-08-07T00:46:48.836000
11.90,0.97,738.48,60.38,2015-08-07T00:47:50.939000
11.32,0.57,702.60,35.28,2015-08-07T00:48:53.572000
10.67,0.44,662.31,27.28,2015-08-07T00:49:55.807000
11.81,1.23,733.11,76.20,2015-08-07T00:50:57.923000
9.70,0.45,601.95,28.19,2015-08-07T00:51:59.708000
14.31,0.37,888.11,23.23,2015-08-07T00:53:02.775000
11.41,0.87,708.29,53.93,2015-08-07T00:54:05.075000
11.58,0.98,718.74,60.76,2015-08-07T00:55:07.015000
11.22,0.38,696.12,23.61,2015-08-07T00:56:09.263000
11.63,0.90,721.78,55.61,2015-08-07T00:57:12.854000
11.03,0.86,684.76,53.12,2015-08-07T00:58:14.789000
9.87,0.56,612.52,34.59,2015-08-07T00:59:18.028000
10.91,0.48,676.87,29.70,2015-08-07T01:00:19.776000
10.23,0.20,635.07,12.29,2015-08-07T01:01:22.678000
10.06,0.53,624.57,33.11,2015-08-07T01:02:25.040000
8.89,0.55,551.68,34.44,2015-08-07T01:03:27.476000
11.34,0.57,703.87,35.48,2015-08-07T01:04:29.928000
11.48,0.83,712.45,51.49,2015-08-07T01:05:32.426000
10.10,0.53,627.11,33.19,2015-08-07T01:06:35.365000
11.68,0.70,724.80,43.26,2015-08-07T01:07:37.867000
11.70,1.26,726.13,78.03,2015-08-07T01:08:41.187000
9.69,0.94,601.52,58.64,2015-08-07T01:09:43.540000
10.96,0.60,680.44,37.15,2015-08-07T01:10:46.742000
10.84,0.57,672.99,35.17,2015-08-07T01:11:49.305000
10.54,0.59,654.25,36.37,2015-08-07T01:12:51.001000
10.80,0.84,670.51,51.91,2015-08-07T01:13:53.956000
9.45,0.89,586.50,55.40,2015-08-07T01:14:55.858000
10.97,0.57,680.76,35.60,2015-08-07T01:15:58.319000
9.75,0.81,605.23,50.20,2015-08-07T01:17:01.545000
